Municipios;Sexo;Periodo;Total
18 Granada;Total;2022;921.987
18 Granada;Total;2021;921.338
18 Granada;Total;2020;919.168
18 Granada;Total;2019;914.678
18 Granada;Total;2018;912.075
18 Granada;Total;2017;912.938
18 Granada;Total;2016;915.392
18 Granada;Total;2015;917.297
18 Granada;Total;2014;919.455
18 Granada;Total;2013;919.319
18 Granada;Total;2012;922.928
18 Granada;Total;2011;924.550
18 Granada;Total;2010;918.072
18 Granada;Total;2009;907.428
18 Granada;Total;2008;901.220
18 Granada;Total;2007;884.099
18 Granada;Total;2006;876.184
18 Granada;Total;2005;860.898
18 Granada;Total;2004;841.687
18 Granada;Total;2003;828.107
18 Granada;Total;2002;818.959
18 Granada;Total;2001;812.637
18 Granada;Total;2000;809.004
18 Granada;Total;1999;813.061
18 Granada;Total;1998;801.177
18 Granada;Total;1997;""
18 Granada;Total;1996;808.053
18 Granada;Hombres;2022;454.162
18 Granada;Hombres;2021;453.683
18 Granada;Hombres;2020;452.595
18 Granada;Hombres;2019;450.555
18 Granada;Hombres;2018;449.318
18 Granada;Hombres;2017;449.821
18 Granada;Hombres;2016;451.148
18 Granada;Hombres;2015;451.907
18 Granada;Hombres;2014;453.407
18 Granada;Hombres;2013;453.670
18 Granada;Hombres;2012;456.216
18 Granada;Hombres;2011;457.084
18 Granada;Hombres;2010;453.734
18 Granada;Hombres;2009;448.784
18 Granada;Hombres;2008;447.280
18 Granada;Hombres;2007;437.782
18 Granada;Hombres;2006;433.320
18 Granada;Hombres;2005;424.718
18 Granada;Hombres;2004;414.472
18 Granada;Hombres;2003;407.293
18 Granada;Hombres;2002;402.121
18 Granada;Hombres;2001;398.272
18 Granada;Hombres;2000;395.659
18 Granada;Hombres;1999;397.751
18 Granada;Hombres;1998;391.867
18 Granada;Hombres;1997;""
18 Granada;Hombres;1996;395.509
18 Granada;Mujeres;2022;467.825
18 Granada;Mujeres;2021;467.655
18 Granada;Mujeres;2020;466.573
18 Granada;Mujeres;2019;464.123
18 Granada;Mujeres;2018;462.757
18 Granada;Mujeres;2017;463.117
18 Granada;Mujeres;2016;464.244
18 Granada;Mujeres;2015;465.390
18 Granada;Mujeres;2014;466.048
18 Granada;Mujeres;2013;465.649
18 Granada;Mujeres;2012;466.712
18 Granada;Mujeres;2011;467.466
18 Granada;Mujeres;2010;464.338
18 Granada;Mujeres;2009;458.644
18 Granada;Mujeres;2008;453.940
18 Granada;Mujeres;2007;446.317
18 Granada;Mujeres;2006;442.864
18 Granada;Mujeres;2005;436.180
18 Granada;Mujeres;2004;427.215
18 Granada;Mujeres;2003;420.814
18 Granada;Mujeres;2002;416.838
18 Granada;Mujeres;2001;414.365
18 Granada;Mujeres;2000;413.345
18 Granada;Mujeres;1999;415.310
18 Granada;Mujeres;1998;409.310
18 Granada;Mujeres;1997;""
18 Granada;Mujeres;1996;412.544
18001 Agrón;Total;2022;247
18001 Agrón;Total;2021;255
18001 Agrón;Total;2020;260
18001 Agrón;Total;2019;274
18001 Agrón;Total;2018;288
18001 Agrón;Total;2017;290
18001 Agrón;Total;2016;297
18001 Agrón;Total;2015;310
18001 Agrón;Total;2014;313
18001 Agrón;Total;2013;324
18001 Agrón;Total;2012;342
18001 Agrón;Total;2011;330
18001 Agrón;Total;2010;340
18001 Agrón;Total;2009;358
